
STATUS | wrapper  | 2012/08/17 04:39:02 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:39:02 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:39:02 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:39:02 | 
STATUS | wrapper  | 2012/08/17 04:39:02 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:39:02 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:39:03 | 
INFO   | jvm 1    | 2012/08/17 04:39:03 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2012/08/17 04:39:03 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2012/08/17 04:39:03 | 
INFO   | jvm 1    | 2012/08/17 04:39:03 | Where:
INFO   | jvm 1    | 2012/08/17 04:39:03 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2012/08/17 04:39:03 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2012/08/17 04:39:03 |                   application.
ERROR  | wrapper  | 2012/08/17 04:39:04 | JVM exited while loading the application.
STATUS | wrapper  | 2012/08/17 04:39:09 | Launching a JVM...
INFO   | jvm 2    | 2012/08/17 04:39:09 | WrapperManager: Initializing...
INFO   | jvm 2    | 2012/08/17 04:39:09 | 
INFO   | jvm 2    | 2012/08/17 04:39:09 | WrapperSimpleApp Usage:
INFO   | jvm 2    | 2012/08/17 04:39:09 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 2    | 2012/08/17 04:39:09 | 
INFO   | jvm 2    | 2012/08/17 04:39:09 | Where:
INFO   | jvm 2    | 2012/08/17 04:39:09 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 2    | 2012/08/17 04:39:09 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 2    | 2012/08/17 04:39:09 |                   application.
STATUS | wrapper  | 2012/08/17 04:39:11 | CTRL-C trapped.  Shutting down.
WARN   | wrapper  | 2012/08/17 04:39:11 | JVM exited unexpectedly while stopping the application.
STATUS | wrapper  | 2012/08/17 04:39:11 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:45:46 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:45:46 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:45:46 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:45:46 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:45:46 | 
STATUS | wrapper  | 2012/08/17 04:45:47 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:45:47 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:45:49 | Adding 92 new reputations
STATUS | wrapper  | 2012/08/17 04:45:54 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2012/08/17 04:45:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:46:09 | IP Reputation service installed.
STATUS | wrapper  | 2012/08/17 04:46:15 | Starting the IP Reputation service...
STATUS | wrapper  | 2012/08/17 04:46:15 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/08/17 04:46:15 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:46:15 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:46:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:46:15 | 
STATUS | wrapper  | 2012/08/17 04:46:16 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:46:16 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:46:18 | Adding 90 new reputations
INFO   | wrapper  | 2012/08/17 04:46:20 | Waiting to start...
STATUS | wrapper  | 2012/08/17 04:46:21 | IP Reputation started.
INFO   | jvm 1    | 2012/08/17 04:46:48 | Adding 90 new reputations
INFO   | jvm 1    | 2012/08/17 04:47:19 | Adding 89 new reputations
